rank,domain,word1,tld,phrase_count,premium_likely,restricted
419,emerging.markets,emerging,markets,474332,0,0
420,common.site,common,site,473557,0,0
421,client.software,client,software,473194,0,0
422,main.site,main,site,472631,0,0
423,state.party,state,party,471839,0,0
424,sale.online,sale,online,471120,0,0
425,enforcement.agency,enforcement,agency,470370,0,0
426,made.one,made,one,470097,0,0
427,another.page,another,page,468371,0,0
428,supply.store,supply,store,466333,0,0
429,developing.country,developing,country,465210,0,0
430,administrative.support,administrative,support,464542,0,0
431,secured.loan,secured,loan,464251,0,0
432,leading.global,leading,global,463929,0,0
433,single.men,single,men,463869,0,0
434,tickets.online,tickets,online,463777,0,0
435,insurance.car,insurance,car,463108,1,0
436,development.work,development,work,462781,0,0
437,open.market,open,market,462318,0,0
438,biz.markets,biz,markets,461965,0,0
439,either.express,either,express,461648,0,0
440,liability.company,liability,company,461391,0,0
441,pharmacies.online,pharmacies,online,461102,0,0
442,sister.site,sister,site,460133,0,0
443,fat.black,fat,black,459960,0,0
444,believe.how,believe,how,459217,1,0
445,fitness.equipment,fitness,equipment,458503,0,0
446,bad.day,bad,day,457866,0,0
447,brown.hair,brown,hair,457735,0,0
448,took.care,took,care,457232,0,0
449,video.review,video,review,455575,0,0
450,additional.support,additional,support,455177,0,0
451,level.data,level,data,454525,1,0
452,nuclear.energy,nuclear,energy,453623,0,0
453,medical.doctor,medical,doctor,453162,1,0
454,hand.tools,hand,tools,453053,0,0
455,after.day,after,day,451808,0,0
456,virus.protection,virus,protection,451450,1,0
457,communication.systems,communication,systems,450855,0,0
458,international.financial,international,financial,448246,0,0
459,booty.black,booty,black,448104,0,0
460,equipped.kitchen,equipped,kitchen,448073,0,0
461,make.fun,make,fun,447930,0,0
462,foreign.trade,foreign,trade,447761,0,0
463,any.school,any,school,446954,0,0
464,viagra.cheap,viagra,cheap,446952,0,0
465,following.services,following,services,446904,0,0
466,image.data,image,data,446126,1,0
467,providing.support,providing,support,445885,0,0
468,short.film,short,film,445814,0,0
469,movie.theater,movie,theater,445268,0,0
470,some.cool,some,cool,445036,0,0
471,camera.reviews,camera,reviews,444762,0,0
472,formal.education,formal,education,441542,0,0
473,discusses.how,discusses,how,439328,1,0
474,state.university,state,university,438830,0,0
475,own.family,own,family,438353,0,0
476,think.one,think,one,438066,0,0
477,graduate.degree,graduate,degree,437393,0,0
478,timely.fashion,timely,fashion,437066,0,0
479,still.work,still,work,436815,0,0
480,daily.living,daily,living,436626,0,0
481,living.space,living,space,435512,0,0
482,specific.data,specific,data,435303,1,0
483,level.courses,level,courses,435089,1,0
484,download.page,download,page,433517,0,0
485,anal.video,anal,video,433369,0,0
486,private.health,private,health,432857,1,0
487,power.management,power,management,432584,0,0
488,some.photos,some,photos,432119,0,0
489,all.deals,all,deals,431686,0,0
490,sex.shop,sex,shop,430553,0,0
491,power.systems,power,systems,430285,0,0
492,wondered.how,wondered,how,429635,1,0
493,business.loan,business,loan,429510,0,0
494,physical.fitness,physical,fitness,428523,0,0
495,backup.software,backup,software,428410,0,0
496,getting.help,getting,help,427881,0,0
497,best.site,best,site,426553,0,0
498,campaign.finance,campaign,finance,426345,0,0
499,national.health,national,health,425504,1,0
500,blonde.hair,blonde,hair,425119,0,0
501,normal.business,normal,business,424842,0,0
502,local.store,local,store,424450,0,0
503,consumer.reviews,consumer,reviews,423641,0,0
504,same.site,same,site,423060,0,0
505,application.software,application,software,422486,0,0
506,security.software,security,software,421899,0,0
507,patient.safety,patient,safety,421096,1,0
508,cross.data,cross,data,420214,1,0
509,recent.blog,recent,blog,419797,0,0
510,drugs.online,drugs,online,419780,0,0
511,software.design,software,design,419607,0,0
512,system.software,system,software,418999,0,0
513,explaining.how,explaining,how,418659,1,0
